Subject,Type,Purpose,Occurence,Boolean
General Announcements,Business Updates,,,0
General Announcements,Business Updates,,,1
General Announcements,Business Updates,,,0
General Announcements,Product Performance,,,0
General Announcements,Product Performance,,,0
General Announcements,Product Performance,,,1
General Announcements,Product Performance,,,0
Team-Based,Sprint Retrospective,,,1
Team-Based,Sprint Retrospective,,,1
Team-Based,Sprint Retrospective,,,1
